time,vx,vy,vz,foe_u,foe_v,P_det,res_norm
0.050,-0.000,-0.312,0.869,0.0,0.0,1.015075e-03,0.0
0.100,-0.000,-0.661,1.784,0.0,0.0,1.030301e-03,0.0
0.150,-0.000,-1.012,2.698,0.0,0.0,1.045678e-03,0.0
0.200,-0.000,-1.363,3.609,0.0,0.0,1.061208e-03,0.0
0.250,-0.000,-1.717,4.517,0.0,0.0,1.076891e-03,0.0
0.300,-0.000,-2.072,5.423,0.0,0.0,1.092727e-03,0.0
0.350,-0.000,-2.430,6.326,0.0,0.0,1.108718e-03,0.0
0.400,-0.000,-2.790,7.226,0.0,0.0,1.124864e-03,0.0
0.450,-0.000,-3.154,8.122,0.0,0.0,1.141166e-03,0.0
0.500,-0.000,-3.521,9.013,0.0,0.0,1.157625e-03,0.0
0.550,-0.000,-3.892,9.900,0.0,0.0,1.174241e-03,0.0
0.600,-0.000,-4.268,10.783,0.0,0.0,1.191016e-03,0.0
0.650,-0.000,-4.648,11.660,0.0,0.0,1.207950e-03,0.0
0.700,-0.000,-5.032,12.532,0.0,0.0,1.225043e-03,0.0
0.750,-0.000,-5.422,13.397,0.0,0.0,1.242297e-03,0.0
0.800,-0.000,-5.817,14.257,0.0,0.0,1.259712e-03,0.0
0.850,-0.000,-6.218,15.110,0.0,0.0,1.277289e-03,0.0
0.900,-0.000,-6.624,15.957,0.0,0.0,1.295029e-03,0.0
0.950,-0.000,-7.037,16.797,0.0,0.0,1.312932e-03,0.0
1.000,-0.000,-7.454,17.629,0.0,0.0,1.331000e-03,0.0
1.050,-0.000,-7.878,18.454,0.0,0.0,1.349233e-03,0.0
1.100,-0.000,-8.308,19.271,0.0,0.0,1.367631e-03,0.0
1.150,-0.000,-8.743,20.081,0.0,0.0,1.386196e-03,0.0
1.200,-0.000,-9.184,20.882,0.0,0.0,1.404928e-03,0.0
1.250,-0.000,-9.631,21.676,0.0,0.0,1.423828e-03,0.0
1.300,-0.000,-10.084,22.461,0.0,0.0,1.442897e-03,0.0
1.350,-0.000,-10.541,23.239,-0.0,74.0,1.462135e-03,0.0
1.400,-0.000,-11.004,24.008,-0.0,39.2,1.481544e-03,0.0
1.450,-0.000,-11.472,24.769,-0.0,26.8,1.501124e-03,0.0
1.500,-0.000,-11.945,25.522,-0.0,20.5,1.520875e-03,0.0
1.550,-0.000,-12.423,26.267,-0.0,16.7,1.540799e-03,0.0
1.600,-0.000,-12.904,27.004,-0.0,14.1,1.560896e-03,0.0
1.650,-0.000,-13.390,27.733,-0.0,12.3,1.581167e-03,0.0
1.700,-0.000,-13.880,28.455,-0.0,11.0,1.601613e-03,0.0
1.750,-0.000,-14.374,29.169,-0.0,9.9,1.622234e-03,0.0
1.800,-0.000,-14.871,29.876,-0.0,9.1,1.643032e-03,0.0
